                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8716,                 1.1115,                 1.0469,                0.29243,                0.31334,                0.16167,                0.08645,                 2.5152,                    inf,                 1.3286,             0.00033141,             0.00033141,             0.00033141
                      2,                 2.0053,                 1.1765,                 1.0881,                0.76408,                0.49691,                0.53949,                0.28306,                 2.3238,                 1.3411,                 1.1414,             0.00059893,             0.00059893,             0.00059893
                      3,                 1.9892,                 1.1363,                 1.0751,                0.71943,                0.55559,                0.64279,                0.33432,                 1.9183,                 1.1646,                 1.0344,             0.00080045,             0.00080045,             0.00080045
                      4,                 1.9648,                 1.0752,                 1.0622,                0.68974,                0.65431,                0.69975,                0.37567,                 1.8502,                  1.081,                 1.0163,               0.000703,               0.000703,               0.000703
                      5,                 1.9267,                 1.0274,                 1.0506,                0.66807,                0.59989,                0.65982,                0.35083,                 1.9489,                 1.1037,                  1.031,               0.000703,               0.000703,               0.000703
                      6,                 1.8717,                0.98891,                 1.0356,                0.72222,                0.75523,                0.80474,                 0.4606,                 1.7697,                 0.9608,                0.99206,               0.000604,               0.000604,               0.000604
                      7,                 1.8279,                0.91448,                 1.0203,                0.85962,                0.67465,                0.80427,                0.44764,                 1.7834,                0.93825,                 1.0006,               0.000505,               0.000505,               0.000505
                      8,                 1.7952,                0.88642,                 1.0148,                0.77315,                0.74571,                0.80099,                0.46709,                 1.7485,                0.96094,                0.98295,               0.000406,               0.000406,               0.000406
                      9,                 1.7358,                0.84194,                 1.0016,                0.79015,                 0.8053,                0.85675,                0.49951,                  1.712,                0.81496,                0.97258,               0.000307,               0.000307,               0.000307
                     10,                 1.6901,                0.81009,                0.98862,                 0.7938,                0.81673,                0.85323,                0.51046,                 1.6489,                0.79458,                0.96262,               0.000208,               0.000208,               0.000208
